       Xposition(m)           Yposition(m)             Zposition(m)
  1.2506405818881871e+07  -1.5597289429530457e+07  -9.0151987127122710e+01
  1.2541212348748378e+07  -1.5569305952808265e+07  -8.9398833448005830e+01
  1.2575956307638299e+07  -1.5541244797684810e+07  -8.8645466246161220e+01
  1.2610637522128789e+07  -1.5513106104066344e+07  -8.7891888589409630e+01
  1.2645255819109688e+07  -1.5484890012246797e+07  -8.7138103545549460e+01
  1.2679811025784647e+07  -1.5456596662906704e+07  -8.6384114182340510e+01
  1.2714302969671873e+07  -1.5428226197112732e+07  -8.5629923567501350e+01
  1.2748731478604864e+07  -1.5399778756316977e+07  -8.4875534768701470e+01
  1.2783096380733585e+07  -1.5371254482356094e+07  -8.4120950853548520e+01
  1.2817397504525075e+07  -1.5342653517450690e+07  -8.3366174889584270e+01
  1.2851634678764433e+07  -1.5313976004204630e+07  -8.2611209944275260e+01
  1.2885807732555501e+07  -1.5285222085604385e+07  -8.1856059085008210e+01
  1.2919916495321972e+07  -1.5256391905018156e+07  -8.1100725379079080e+01
  1.2953960796808137e+07  -1.5227485606195190e+07  -8.0345211893684480e+01
  1.2987940467079507e+07  -1.5198503333265366e+07  -7.9589521695914730e+01
  1.3021855336524168e+07  -1.5169445230737906e+07  -7.8833657852738720e+01
  1.3055705235853126e+07  -1.5140311443501180e+07  -7.8077623431008850e+01
  1.3089489996101394e+07  -1.5111102116821824e+07  -7.7321421497448140e+01
  1.3123209448628996e+07  -1.5081817396343697e+07  -7.6565055118636080e+01
  1.3156863425121343e+07  -1.5052457428087760e+07  -7.5808527361014540e+01
  1.3190451757590564e+07  -1.5023022358450837e+07  -7.5051841290867060e+01
  1.3223974278376125e+07  -1.4993512334205035e+07  -7.4294999974315720e+01
  1.3257430820145592e+07  -1.4963927502497166e+07  -7.3538006477316000e+01
  1.3290821215895630e+07  -1.4934268010847814e+07  -7.2780863865644790e+01
  1.3324145298952714e+07  -1.4904534007150732e+07  -7.2023575204895310e+01
  1.3357402902974080e+07  -1.4874725639671978e+07  -7.1266143560466620e+01
  1.3390593861948557e+07  -1.4844843057049243e+07  -7.0508571997556340e+01
  1.3423718010197239e+07  -1.4814886408291142e+07  -6.9750863581155730e+01
  1.3456775182374513e+07  -1.4784855842776420e+07  -6.8993021376037630e+01
  1.3489765213468617e+07  -1.4754751510253325e+07  -6.8235048446755120e+01
  1.3522687938802933e+07  -1.4724573560838537e+07  -6.7476947857622630e+01
  1.3555543194036115e+07  -1.4694322145016990e+07  -6.6718722672724480e+01
  1.3588330815163849e+07  -1.4663997413640315e+07  -6.5960375955885380e+01
  1.3621050638518617e+07  -1.4633599517927025e+07  -6.5201910770687300e+01
  1.3653702500771440e+07  -1.4603128609460905e+07  -6.4443330180439770e+01
  1.3686286238932097e+07  -1.4572584840190833e+07  -6.3684637248186790e+01
  1.3718801690350150e+07  -1.4541968362429831e+07  -6.2925835036693970e+01
  1.3751248692715803e+07  -1.4511279328854233e+07  -6.2166926608439240e+01
  1.3783627084060643e+07  -1.4480517892503006e+07  -6.1407915025607680e+01
  1.3815936702758627e+07  -1.4449684206776840e+07  -6.0648803350078990e+01
  1.3848177387526462e+07  -1.4418778425437747e+07  -5.9889594643429970e+01
  1.3880348977424933e+07  -1.4387800702607844e+07  -5.9130291966915480e+01
  1.3912451311859297e+07  -1.4356751192768987e+07  -5.8370898381469146e+01
  1.3944484230580370e+07  -1.4325630050761650e+07  -5.7611416947689605e+01
  1.3976447573685123e+07  -1.4294437431784391e+07  -5.6851850725837180e+01
  1.4008341181617627e+07  -1.4263173491393026e+07  -5.6092202775824234e+01
  1.4040164895169849e+07  -1.4231838385499712e+07  -5.5332476157205860e+01
  1.4071918555482313e+07  -1.4200432270372404e+07  -5.4572673929176400e+01
  1.4103602004045095e+07  -1.4168955302633828e+07  -5.3812799150556600e+01
  1.4135215082698382e+07  -1.4137407639260948e+07  -5.3052854879791596e+01
  1.4166757633633465e+07  -1.4105789437583998e+07  -5.2292844174938836e+01
  1.4198229499393418e+07  -1.4074100855285786e+07  -5.1532770093662435e+01
  1.4229630522874007e+07  -1.4042342050400771e+07  -5.0772635693222750e+01
  1.4260960547324313e+07  -1.4010513181314532e+07  -5.0012444030473890e+01
  1.4292219416347595e+07  -1.3978614406762738e+07  -4.9252198161851396e+01
  1.4323406973902056e+07  -1.3946645885830559e+07  -4.8491901143368580e+01
  1.4354523064301680e+07  -1.3914607777951641e+07  -4.7731556030604054e+01
  1.4385567532217165e+07  -1.3882500242907290e+07  -4.6971165878692630e+01
  1.4416540222676108e+07  -1.3850323440826192e+07  -4.6210733742331314e+01
  1.4447440981064593e+07  -1.3818077532182842e+07  -4.5450262675751730e+01
  1.4478269653127188e+07  -1.3785762677797506e+07  -4.4689755732731584e+01
  1.4509026084968429e+07  -1.3753379038834695e+07  -4.3929215966569640e+01
  1.4539710123053081e+07  -1.3720926776802894e+07  -4.3168646430090520e+01
  1.4570321614207087e+07  -1.3688406053553548e+07  -4.2408050175632270e+01
  1.4600860405618262e+07  -1.3655817031280361e+07  -4.1647430255041030e+01
  1.4631326344837336e+07  -1.3623159872518191e+07  -4.0886789719656235e+01
  1.4661719279778203e+07  -1.3590434740142733e+07  -4.0126131620315760e+01
  1.4692039058719330e+07  -1.3557641797369098e+07  -3.9365459007331480e+01
  1.4722285530303832e+07  -1.3524781207751669e+07  -3.8604774930499985e+01
  1.4752458543540772e+07  -1.3491853135182730e+07  -3.7844082439080350e+01
  1.4782557947805773e+07  -1.3458857743891790e+07  -3.7083384581790085e+01
  1.4812583592841480e+07  -1.3425795198445082e+07  -3.6322684406805050e+01
  1.4842535328758726e+07  -1.3392665663744332e+07  -3.5561984961741930e+01
  1.4872413006037127e+07  -1.3359469305026010e+07  -3.4801289293652786e+01
  1.4902216475525668e+07  -1.3326206287860800e+07  -3.4040600449023290e+01
  1.4931945588443650e+07  -1.3292876778152488e+07  -3.3279921473759345e+01
  1.4961600196381493e+07  -1.3259480942137046e+07  -3.2519255413176950e+01
  1.4991180151301129e+07  -1.3226018946382270e+07  -3.1758605312004960e+01
  1.5020685305537230e+07  -1.3192490957786322e+07  -3.0997974214363780e+01
  1.5050115511797504e+07  -1.3158897143577456e+07  -3.0237365163769283e+01
  1.5079470623163763e+07  -1.3125237671312792e+07  -2.9476781203117383e+01
  1.5108750493092450e+07  -1.3091512708877720e+07  -2.8716225374680533e+01
  1.5137954975415350e+07  -1.3057722424485035e+07  -2.7955700720101050e+01
  1.5167083924340699e+07  -1.3023866986673770e+07  -2.7195210280373970e+01
  1.5196137194453310e+07  -1.2989946564308945e+07  -2.6434757095854422e+01
  1.5225114640715856e+07  -1.2955961326580152e+07  -2.5674344206235617e+01
  1.5254016118469235e+07  -1.2921911443001123e+07  -2.4913974650551240e+01
  1.5282841483433466e+07  -1.2887797083408663e+07  -2.4153651467162206e+01
  1.5311590591708409e+07  -1.2853618417961763e+07  -2.3393377693748960e+01
  1.5340263299774358e+07  -1.2819375617141003e+07  -2.2633156367307777e+01
  1.5368859464492904e+07  -1.2785068851747455e+07  -2.1872990524139000e+01
  1.5397378943107745e+07  -1.2750698292901762e+07  -2.1112883199836887e+01
  1.5425821593244942e+07  -1.2716264112043760e+07  -2.0352837429292947e+01
  1.5454187272914244e+07  -1.2681766480931021e+07  -1.9592856246673932e+01
  1.5482475840509223e+07  -1.2647205571638525e+07  -1.8832942685427184e+01
  1.5510687154808467e+07  -1.2612581556557328e+07  -1.8073099778261223e+01
  1.5538821074976083e+07  -1.2577894608393950e+07  -1.7313330557143644e+01
  1.5566877460562294e+07  -1.2543144900169570e+07  -1.6553638053294860e+01
  1.5594856171504242e+07  -1.2508332605219107e+07  -1.5794025297179104e+01
  1.5622757068126940e+07  -1.2473457897190030e+07  -1.5034495318488922e+01
  1.5650580011143263e+07  -1.2438520950042346e+07  -1.4275051146156898e+01
  1.5678324861655666e+07  -1.2403521938046506e+07  -1.3515695808320004e+01
  1.5705991481155844e+07  -1.2368461035783758e+07  -1.2756432332339955e+01
  1.5733579731526278e+07  -1.2333338418144302e+07  -1.1997263744772425e+01
  1.5761089475040326e+07  -1.2298154260327073e+07  -1.1238193071374695e+01
  1.5788520574363240e+07  -1.2262908737838525e+07  -1.0479223337089877e+01
  1.5815872892552694e+07  -1.2227602026491927e+07  -9.7203575660432480e+00
  1.5843146293059620e+07  -1.2192234302406292e+07  -8.9615987815292610e+00
  1.5870340639728852e+07  -1.2156805742005631e+07  -8.2029500060071140e+00
  1.5897455796799522e+07  -1.2121316522018233e+07  -7.4444142610972220e+00
  1.5924491628906256e+07  -1.2085766819475347e+07  -6.6859945675621475e+00
  1.5951448001079466e+07  -1.2050156811710665e+07  -5.9276939453079650e+00
  1.5978324778746126e+07  -1.2014486676359355e+07  -5.1695154133774110e+00
  1.6005121827730404e+07  -1.1978756591357220e+07  -4.4114619899353330e+00
  1.6031839014254520e+07  -1.1942966734939551e+07  -3.6535366922503556e+00
  1.6058476204939276e+07  -1.1907117285640424e+07  -2.8957425367012775e+00
  1.6085033266804643e+07  -1.1871208422291920e+07  -2.1380825387710445e+00
  1.6111510067270660e+07  -1.1835240324022982e+07  -1.3805597130328522e+00
  1.6137906474157639e+07  -1.1799213170258990e+07  -6.2317707315304460e-01
  1.6164222355687562e+07  -1.1763127140720049e+07   1.3406236813594320e-01
